Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","867","Meat, cattle","2008","2008","gigagrams","107886.3438","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","867","Meat, cattle","2009","2009","gigagrams","107817.2926","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","867","Meat, cattle","2010","2010","gigagrams","109358.1934","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","867","Meat, cattle","2011","2011","gigagrams","108344.8219","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","867","Meat, cattle","2012","2012","gigagrams","104468.1202","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","867","Meat, cattle","2013","2013","gigagrams","104428.0997","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","867","Meat, cattle","2014","2014","gigagrams","104309.8734","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","867","Meat, cattle","2015","2015","gigagrams","107854.8912","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","867","Meat, cattle","2016","2016","gigagrams","109997.7694","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","7231","Emissions (CO2eq)","867","Meat, cattle","2017","2017","gigagrams","109285.5743","A","Aggregate, may include official, semi-official, estimated or calculated data"
"EI","Emissions intensities","351","China","5510","Production","867","Meat, cattle","2000","2000","tonnes","4651944","A","Aggregate, may include official, semi-official, estimated or calculated data"
